constituency_code,constituency_name,district_code,district_name
289,MITYANA MUNICIPALITY,68,MITYANA
147,MATHENIKO COUNTY,28,MOROTO
150,MOROTO MUNICIPALITY,28,MOROTO
278,TEPETH COUNTY,28,MOROTO
152,OBONGI COUNTY,29,MOYO
153,WEST MOYO COUNTY,29,MOYO
162,MAWOKOTA COUNTY NORTH,30,MPIGI
163,MAWOKOTA COUNTY SOUTH,30,MPIGI
246,BUKUYA COUNTY,31,MUBENDE
166,BUWEKULA COUNTY,31,MUBENDE
221,KASAMBYA COUNTY,31,MUBENDE
167,KASSANDA COUNTY NORTH,31,MUBENDE
168,KASSANDA COUNTY SOUTH,31,MUBENDE
290,MUBENDE MUNICIPALITY,31,MUBENDE
176,MUKONO COUNTY NORTH,32,MUKONO
177,MUKONO COUNTY SOUTH,32,MUKONO
231,MUKONO MUNICIPALITY,32,MUKONO
178,NAKIFUMA COUNTY,32,MUKONO
146,CHEKWII COUNTY (KADAM),56,NAKAPIRIPIRIT
148,PIAN COUNTY,56,NAKAPIRIPIRIT
223,NAKASEKE NORTH COUNTY,69,NAKASEKE
109,NAKASEKE SOUTH COUNTY,69,NAKASEKE
218,BUDYEBO COUNTY,44,NAKASONGOLA
106,NAKASONGOLA COUNTY,44,NAKASONGOLA
235,BUKOOLI ISLAND COUNTY,95,NAMAYINGO
33,BUKOOLI SOUTH COUNTY,95,NAMAYINGO
245,BUKONO COUNTY,75,NAMUTUMBA
37,BUSIKI COUNTY,75,NAMUTUMBA
145,BOKORA COUNTY,107,NAPAK
181,JONAM COUNTY,33,NEBBI
183,PADYERE COUNTY,33,NEBBI
98,NGORA COUNTY,108,NGORA
15,NTOROKO COUNTY,96,NTOROKO
184,KAJARA COUNTY,34,NTUNGAMO
232,NTUNGAMO MUNICIPALITY,34,NTUNGAMO
185,RUHAAMA COUNTY,34,NTUNGAMO
186,RUSHENYI COUNTY,34,NTUNGAMO
25,NWOYA COUNTY,110,NWOYA
104,OTUKE COUNTY,86,OTUKE
4,OYAM COUNTY NORTH,76,OYAM
5,OYAM COUNTY SOUTH,76,OYAM
90,ARUU COUNTY,50,PADER
243,ARUU NORTH COUNTY,50,PADER
234,AGULE COUNTY,35,PALLISA
188,BUTEBO COUNTY,35,PALLISA
261,KIBALE COUNTY,35,PALLISA
190,PALLISA COUNTY,35,PALLISA
249,BUYAMBA COUNTY,36,RAKAI
192,KAKUUTO COUNTY,36,RAKAI
193,KOOKI COUNTY,36,RAKAI
194,KYOTERA COUNTY,36,RAKAI
17,BUNYARUGURU COUNTY,112,RUBIRIZI
222,KATERERA COUNTY,112,RUBIRIZI
197,RUBABO COUNTY,37,RUKUNGIRI
198,RUJUMBURA COUNTY,37,RUKUNGIRI
233,RUKUNGIRI MUNICIPALITY,37,RUKUNGIRI
203,KASILO COUNTY,97,SERERE
204,SERERE COUNTY,97,SERERE
21,SHEEMA COUNTY NORTH,101,SHEEMA
22,SHEEMA COUNTY SOUTH,101,SHEEMA
129,BUDADIRI COUNTY  WEST,51,SIRONKO
128,BUDADIRI COUNTY EAST,51,SIRONKO
251,DAKABELA COUNTY,38,SOROTI
205,SOROTI COUNTY,38,SOROTI
207,SOROTI MUNICIPALITY,38,SOROTI
119,LWEMIYAGA COUNTY,45,SSEMBABULE
120,MAWOGOLA COUNTY,45,SSEMBABULE
273,MAWOGOLA NORTH COUNTY,45,SSEMBABULE
209,NORTH,39,TORORO
210,SOUTH,39,TORORO
213,TORORO COUNTY,39,TORORO
214,TORORO MUNICIPALITY,39,TORORO
281,TORORO NORTH COUNTY,39,TORORO
154,BUSIRO COUNTY EAST,52,WAKISO
155,BUSIRO COUNTY NORTH,52,WAKISO
156,BUSIRO COUNTY SOUTH,52,WAKISO
164,ENTEBBE MUNICIPALITY,52,WAKISO
284,KIRA MUNICIPALITY,52,WAKISO
159,KYADONDO COUNTY EAST,52,WAKISO
161,MUNICIPALITY,52,WAKISO
160,NANSANA MUNICIPALITY,52,WAKISO
6,ARINGA COUNTY,53,YUMBE
241,ARINGA NORTH COUNTY,53,YUMBE
242,ARINGA SOUTH COUNTY,53,YUMBE
182,OKORO COUNTY,87,ZOMBO
275,ORA COUNTY,87,ZOMBO
