DISTRICT CODE;DISTRICT NAME;EA CODE;EA NAME;SCOUNTY CODE;SCOUNTY NAME;PARISH CODE;PARISH NAME;PS CODE;PS NAME;REGISTERED VOTERS;ABED BWANIKA;BESIGYE KIFEFE KIZZA;BETI OLIVE KAMYA NAMISANGO;BIDANDI? SSALI JABERI;MAO NORBERT;OLARA OTUNNU;"SAMUEL LUBEGA MUKAAKU
WALTER";YOWERI MUSEVENI KAGUTA;VALID;INVALID;SPOILT
1;APAC;3;"MARUZI
COUNTY";2;APAC;9;AKERE;2;"TE ? IBUK  P A
G  CHURCH";937;6;96;5;0;2;219;8;270;606;14;0
1;APAC;3;"MARUZI
COUNTY";2;APAC;10;ATANA;4;ABULI MARKET;849;5;111;6;0;7;54;3;375;561;15;0
1;APAC;3;"MARUZI
COUNTY";2;APAC;10;ATANA;5;"OMUKOWIE
T.C";405;2;81;2;0;2;33;0;132;252;9;5
1;APAC;3;"MARUZI
COUNTY";2;APAC;11;ABEDI;5;"ATAR P.7
SCHOOL";655;3;72;3;0;1;118;1;186;384;2;19
1;APAC;2;"KWANIA
COUNTY";4;NAMBIESO;32;PUNUATAR;1;"PUNU?ATAR
P.7 SCHOOL";857;3;306;2;0;1;7;2;170;491;26;0
1;APAC;3;"MARUZI
COUNTY";4;CHEGERE;26;ILEE;1;BARDYANG;395;2;25;2;0;0;24;0;211;264;36;1
1;APAC;3;"MARUZI
COUNTY";4;CHEGERE;28;ADEM;1;"ADEM P.7
SCHOOL";990;5;52;2;0;5;140;4;372;580;29;0
1;APAC;3;"MARUZI
COUNTY";4;CHEGERE;30;OLOLANGO;2;"OLOLANGO P.7
SCHOOL";728;2;51;4;0;6;100;5;284;452;26;0
1;APAC;3;"MARUZI
COUNTY";4;CHEGERE;31;ONGICA;2;"ATIGOLWOK
P.7 SCHOOL";734;6;32;5;0;2;79;1;295;420;19;2
1;APAC;3;"MARUZI
COUNTY";5;IBUJE;19;AGANGA;2;AGANGA;411;4;42;0;0;0;34;0;225;305;4;2
;;;;;;;;"The Electoral Commission
Presidential Election Results 2011";;;;;;;;;;;;;
DISTRICT CODE;DISTRICT NAME;EA CODE;EA NAME;SCOUNTY CODE;SCOUNTY NAME;PARISH CODE;PARISH NAME;PS CODE;PS NAME;REGISTERED VOTERS;ABED BWANIKA;BESIGYE KIFEFE KIZZA;BETI OLIVE KAMYA NAMISANGO;BIDANDI? SSALI JABERI;MAO NORBERT;OLARA OTUNNU;"SAMUEL LUBEGA MUKAAKU
WALTER";YOWERI MUSEVENI KAGUTA;VALID;INVALID;SPOILT
1;APAC;2;"KWANIA
COUNTY";5;ABONGOMOLA;6;ABANY;1;TE?ORO;752;2;142;1;1;4;18;2;241;411;31;2
1;APAC;2;"KWANIA
COUNTY";3;INOMO;21;AGWICIRI;2;APUMI;608;5;90;2;0;1;17;2;316;433;6;2
1;APAC;2;"KWANIA
COUNTY";3;INOMO;21;AGWICIRI;4;ACOWERE;222;0;48;0;0;0;15;1;95;159;9;1
1;APAC;2;"KWANIA
COUNTY";3;INOMO;24;INOMO;2;BARLWALA;740;1;122;1;0;2;26;2;271;425;12;2
1;APAC;2;"KWANIA
COUNTY";6;"ADUKU TOWN
COUNCIL";30;TEDUKA WARD;3;"ADYEDA
CENTRE";358;2;49;0;0;3;16;2;159;231;9;1
1;APAC;2;KWANIA COUNTY;2;CAWENTE;28;AJAR;1;"APOLIKA
PRIMARY SCHOOL";949;4;77;1;0;4;95;12;360;553;2;1
1;APAC;3;MARUZI COUNTY;1;AKOKORO;1;AYAGO;2;"ABONGOKON
GO P.7 SCHOOL";186;2;5;1;0;0;29;1;108;146;5;0
1;APAC;3;"MARUZI
COUNTY";1;AKOKORO;3;AKOKORO;1;"ALUGA P.7
SCHOOL";634;0;28;3;0;4;189;3;248;475;18;1
1;APAC;3;MARUZI COUNTY;1;AKOKORO;4;AWILA;1;"OTWONO?
GWEN MARKET";666;2;24;1;0;3;60;0;352;442;22;3
1;APAC;3;"MARUZI
COUNTY";1;AKOKORO;6;KUNGU;1;"KUNGU P 7
SCHOOL";892;0;55;1;0;1;178;5;343;583;17;0
1;APAC;3;"MARUZI
COUNTY";1;AKOKORO;24;ALARO;4;"KAWEMPE
ISLAND";237;2;4;0;0;1;20;1;48;76;4;0
1;APAC;3;"MARUZI
COUNTY";2;APAC;7;ATIK;1;OWANG;958;6;119;1;0;5;141;2;246;520;21;3
1;APAC;3;"MARUZI
COUNTY";2;APAC;9;AKERE;4;"OGEI
BOREHOLE";243;0;17;0;0;1;21;0;113;152;8;1
1;APAC;3;"MARUZI
COUNTY";2;APAC;11;ABEDI;3;WITIM;493;4;24;4;0;5;79;4;208;328;30;30
1;APAC;2;"KWANIA
COUNTY";4;NAMBIESO;9;OWINY;3;AMITO MOT;302;4;85;0;0;0;11;0;114;214;2;1
1;APAC;2;"KWANIA
COUNTY";4;NAMBIESO;10;AYABI;2;"AYABI P.7
SCHOOL";658;0;172;0;0;0;15;0;222;409;3;2
1;APAC;2;"KWANIA
COUNTY";4;NAMBIESO;11;AORNGA;4;EGWOR;444;1;94;1;0;4;21;3;131;255;14;0
1;APAC;2;"KWANIA
COUNTY";4;NAMBIESO;15;ACABA;3;AGWEI T.C;432;2;96;1;0;1;16;2;145;263;24;2
1;APAC;2;"KWANIA
COUNTY";3;INOMO;21;AGWICIRI;1;ALAI;525;6;89;0;0;3;28;2;202;330;25;0
1;APAC;3;"MARUZI
COUNTY";4;CHEGERE;14;KIDILANI;2;"ADIR  P  7
SCHOOL";906;5;75;3;0;3;200;6;232;524;10;0
1;APAC;3;"MARUZI
COUNTY";4;CHEGERE;15;CHEGERE;3;"ABUTABER P.7
SCHOOL";871;4;61;2;0;1;151;9;330;558;0;0
1;APAC;3;"MARUZI
COUNTY";4;CHEGERE;30;OLOLANGO;1;"OKUTAGWE
P.7 SCHOOL";220;1;15;1;0;0;51;0;88;156;5;1
1;APAC;2;"KWANIA
COUNTY";5;ABONGOMOLA;3;AKALI;2;TELELA;568;1;152;0;2;0;17;1;134;307;29;2
1;APAC;2;"KWANIA
COUNTY";5;ABONGOMOLA;4;ABWONG;2;"AGWA P.7
SCHOOL";882;6;170;6;3;9;68;11;267;540;18;0
;;;;;;;;"The Electoral Commission
Presidential Election Results 2011";;;;;;;;;;;;;
DISTRICT CODE;DISTRICT NAME;EA CODE;EA NAME;SCOUNTY CODE;SCOUNTY NAME;PARISH CODE;PARISH NAME;PS CODE;PS NAME;REGISTERED VOTERS;ABED BWANIKA;BESIGYE KIFEFE KIZZA;BETI OLIVE KAMYA NAMISANGO;BIDANDI? SSALI JABERI;MAO NORBERT;OLARA OTUNNU;"SAMUEL LUBEGA MUKAAKU
WALTER";YOWERI MUSEVENI KAGUTA;VALID;INVALID;SPOILT
1;APAC;2;"KWANIA
COUNTY";5;ABONGOMOLA;5;ACUNGI;3;"ACUNGI P.7
SCHOOL";208;2;43;0;0;2;7;2;73;129;13;0
1;APAC;2;"KWANIA
COUNTY";5;ABONGOMOLA;6;ABANY;2;AWEI;877;6;194;2;5;4;15;2;337;565;15;0
1;APAC;2;"KWANIA
COUNTY";3;INOMO;22;ABEDMOT;1;"AGOBI AID
POST";653;6;81;3;0;0;9;2;331;432;8;1
1;APAC;2;"KWANIA
COUNTY";6;"ADUKU TOWN
COUNCIL";31;IKWERA WARD;2;AKAIDEBE;146;1;22;0;0;0;1;1;46;71;0;0
1;APAC;2;KWANIA COUNTY;2;CAWENTE;18;ATULE;1;"ATULE S/GRADE
SCHOOL";578;5;115;1;0;3;88;3;155;370;22;4
1;APAC;3;"MARUZI
COUNTY";1;AKOKORO;1;AYAGO;1;"OBANGA
KURA";781;1;69;1;0;1;162;8;258;500;53;0
1;APAC;3;MARUZI COUNTY;1;AKOKORO;3;AKOKORO;3;"AKOKORO
TRADING CENTRE";95;0;2;0;0;0;19;0;49;70;2;0
1;APAC;3;"MARUZI
COUNTY";1;AKOKORO;4;AWILA;2;"ATEK CENTRAL
MARKET";813;3;115;0;0;4;138;1;347;608;11;1
1;APAC;3;"MARUZI
COUNTY";1;AKOKORO;5;AYEOLYEC;2;AYEI A;620;1;31;0;0;8;75;1;112;228;9;0
1;APAC;3;"MARUZI
COUNTY";1;AKOKORO;5;AYEOLYEC;6;"KWIBALE
MARKET";816;3;58;2;0;6;169;7;235;480;26;0
1;APAC;3;"MARUZI
COUNTY";1;AKOKORO;6;KUNGU;2;ACHOLI INN;531;0;29;0;0;2;60;0;144;235;9;0
1;APAC;3;"MARUZI
COUNTY";2;APAC;7;ATIK;2;BARDEK;645;7;74;1;0;1;86;3;189;361;23;0
1;APAC;3;"MARUZI
COUNTY";2;APAC;7;ATIK;3;MATIMI AMOR;581;6;97;2;0;0;95;4;157;361;36;1
1;APAC;3;"MARUZI
COUNTY";2;APAC;7;ATIK;5;"AWIRI PRI.
SCHOOL";465;4;34;2;0;1;89;1;147;278;14;1
1;APAC;3;"MARUZI
COUNTY";2;APAC;9;AKERE;3;"OLEL  PEK  P  7
SCHOOL";792;3;66;5;0;1;115;2;306;498;14;1
1;APAC;3;"MARUZI
COUNTY";2;APAC;10;ATANA;2;"ODOKOMAC P.
SCHOOL";592;6;80;4;0;0;72;2;229;393;13;0
1;APAC;3;"MARUZI
COUNTY";2;APAC;11;ABEDI;2;"OMER P.7
SCHOOL";421;1;107;1;0;2;54;0;132;297;8;0
1;APAC;2;"KWANIA
COUNTY";4;NAMBIESO;9;OWINY;1;OWINY;747;2;182;2;0;0;15;2;310;513;8;2
1;APAC;2;"KWANIA
COUNTY";4;NAMBIESO;9;OWINY;2;"IGOTI/ACULA
WIC";691;2;227;0;0;2;9;0;198;438;5;2
1;APAC;2;KWANIA COUNTY;4;NAMBIESO;10;AYABI;1;"AYABI
TRADING CENTRE";877;5;299;0;0;3;7;2;195;511;27;0
1;APAC;2;"KWANIA
COUNTY";4;NAMBIESO;12;ANWANGI;3;ANGEOKOMA;561;2;105;1;0;3;27;2;184;324;9;0
1;APAC;2;"KWANIA
COUNTY";4;NAMBIESO;15;ACABA;1;AGENGI A;373;2;49;0;0;1;10;0;200;262;24;0
1;APAC;2;"KWANIA
COUNTY";4;NAMBIESO;33;OGWIL;1;OGWIL;590;7;226;0;0;2;14;2;130;381;43;0
1;APAC;3;"MARUZI
COUNTY";4;CHEGERE;31;ONGICA;1;"AJALIA
MARKET";882;4;44;2;0;4;63;4;368;489;52;3
;;;;;;;;"The Electoral Commission
Presidential Election Results 2011";;;;;;;;;;;;;
DISTRICT CODE;DISTRICT NAME;EA CODE;EA NAME;SCOUNTY CODE;SCOUNTY NAME;PARISH CODE;PARISH NAME;PS CODE;PS NAME;REGISTERED VOTERS;ABED BWANIKA;BESIGYE KIFEFE KIZZA;BETI OLIVE KAMYA NAMISANGO;BIDANDI? SSALI JABERI;MAO NORBERT;OLARA OTUNNU;"SAMUEL LUBEGA MUKAAKU
WALTER";YOWERI MUSEVENI KAGUTA;VALID;INVALID;SPOILT
1;APAC;3;"MARUZI
COUNTY";5;IBUJE;19;AGANGA;3;"WAITUMBA
MARKET";266;1;48;1;0;1;43;1;108;203;12;12
1;APAC;3;"MARUZI
COUNTY";5;IBUJE;21;AKETO;3;GINNERY;480;0;31;4;0;1;23;1;287;347;10;0
1;APAC;3;"MARUZI
COUNTY";5;IBUJE;25;AMILO;1;APALAMIO;370;0;38;0;0;1;118;1;103;261;12;0
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;1;ADYEDA;1;"ADYEDA
CENTRE";139;1;11;1;0;0;3;0;61;77;4;0
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;1;ADYEDA;3;"ADYEDA
IMALO";166;0;15;0;0;0;3;0;96;114;3;3
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;8;ABOKO;5;WIGWENG;423;4;47;1;0;4;33;4;202;295;13;3
1;APAC;2;"KWANIA
COUNTY";5;ABONGOMOLA;5;ACUNGI;2;"OMWONYO
KONO";550;2;155;1;0;2;15;3;134;312;31;0
1;APAC;2;"KWANIA
COUNTY";5;ABONGOMOLA;6;ABANY;3;"ABANY
MARKET";665;6;120;0;2;6;31;6;258;429;26;3
1;APAC;2;"KWANIA
COUNTY";5;ABONGOMOLA;26;AMORIGOGA;1;"AMORIGOGA P
7 SCHOOL";995;8;284;4;3;8;36;4;274;621;16;0
1;APAC;2;"KWANIA
COUNTY";5;ABONGOMOLA;26;AMORIGOGA;3;TEYAO;605;4;203;3;4;6;36;5;125;386;19;2
1;APAC;2;"KWANIA
COUNTY";2;CAWENTE;16;ATONGTIDI;3;"CHAWENTE  S
S";861;2;100;3;3;5;43;3;365;524;10;10
1;APAC;2;"KWANIA
COUNTY";2;CAWENTE;16;ATONGTIDI;4;"AGOLO PRI.
SCHOOL";528;2;87;2;6;2;60;1;194;354;18;2
1;APAC;2;"KWANIA
COUNTY";2;CAWENTE;17;ACENLWORO;1;BILI MARKET;543;3;92;2;1;4;16;3;246;367;17;1
1;APAC;2;"KWANIA
COUNTY";3;INOMO;23;AJOK;2;LWALA;750;1;51;2;0;0;36;3;370;463;6;1
1;APAC;3;"MARUZI
COUNTY";3;"APAC TOWN
COUNCIL";12;"EASTERN
WARD";1;"AGULU
MARKET";973;3;68;3;0;2;130;1;425;632;16;1
1;APAC;3;"MARUZI
COUNTY";4;CHEGERE;15;CHEGERE;2;"CHEGERE P.7
SCHOOL";909;12;69;3;0;1;73;1;403;562;12;4
1;APAC;3;"MARUZI
COUNTY";4;CHEGERE;17;BARODILO;1;"BARODILO P.7
SCHOOL";1.008;5;46;4;0;6;57;3;484;605;27;0
1;APAC;3;MARUZI COUNTY;4;CHEGERE;29;AGONG;1;"AGONG TRADING
CENTRE";721;4;65;2;0;3;104;5;309;492;20;1
1;APAC;3;"MARUZI
COUNTY";1;AKOKORO;24;ALARO;5;"KIGA LANDING
SITE";270;1;17;0;0;0;67;1;72;158;7;0
1;APAC;3;"MARUZI
COUNTY";2;APAC;11;ABEDI;1;ADAG?AYELA;550;5;60;4;0;2;101;3;160;335;23;2
1;APAC;2;"KWANIA
COUNTY";4;NAMBIESO;11;AORNGA;2;ABURU;647;1;104;3;0;0;8;1;323;440;3;0
1;APAC;2;"KWANIA
COUNTY";4;NAMBIESO;11;AORNGA;3;OKWOR P.7;590;4;79;2;0;2;7;5;256;355;11;0
1;APAC;2;"KWANIA
COUNTY";4;NAMBIESO;14;BUNG;1;OYITO YAT;573;5;140;4;0;3;12;4;215;383;16;0
1;APAC;2;"KWANIA
COUNTY";3;INOMO;22;ABEDMOT;2;AMAMBALE;588;1;48;1;0;1;9;4;299;363;9;1
1;APAC;3;"MARUZI
COUNTY";3;"APAC TOWN
COUNCIL";13;"WESTERN
WARD";3;TEMOGO;1.045;2;118;8;0;1;128;1;273;531;27;0
;;;;;;;;"The Electoral Commission
Presidential Election Results 2011";;;;;;;;;;;;;
DISTRICT CODE;DISTRICT NAME;EA CODE;EA NAME;SCOUNTY CODE;SCOUNTY NAME;PARISH CODE;PARISH NAME;PS CODE;PS NAME;REGISTERED VOTERS;ABED BWANIKA;BESIGYE KIFEFE KIZZA;BETI OLIVE KAMYA NAMISANGO;BIDANDI? SSALI JABERI;MAO NORBERT;OLARA OTUNNU;"SAMUEL LUBEGA MUKAAKU
WALTER";YOWERI MUSEVENI KAGUTA;VALID;INVALID;SPOILT
1;APAC;3;"MARUZI
COUNTY";4;CHEGERE;18;TEBOKE;2;ABOLO P7;518;1;83;2;0;3;49;3;263;404;19;1
1;APAC;3;"MARUZI
COUNTY";5;IBUJE;19;AGANGA;1;ALWALA;479;1;78;1;0;4;143;6;147;380;9;1
1;APAC;3;"MARUZI
COUNTY";5;IBUJE;20;TAROGALI;1;CHAKALI P.7;776;3;38;2;0;1;103;3;350;500;11;1
1;APAC;3;"MARUZI
COUNTY";5;IBUJE;25;AMILO;4;"AMOCAL P.7
SCHOOL";633;4;68;3;0;1;149;3;182;410;13;1
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;8;ABOKO;1;AORA;396;2;69;0;0;0;7;2;178;258;8;0
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;8;ABOKO;2;"AMIA P.7
SCHOOL";892;8;88;3;0;4;57;0;408;568;12;0
1;APAC;2;"KWANIA
COUNTY";3;INOMO;29;ALUKA;1;ALIKINGEL;809;2;169;6;0;2;32;4;273;488;13;2
1;APAC;2;"KWANIA
COUNTY";6;"ADUKU TOWN
COUNCIL";30;TEDUKA WARD;1;ADUKU U.C.C.;795;2;131;1;0;3;35;1;264;437;5;3
1;APAC;2;"KWANIA
COUNTY";2;CAWENTE;18;ATULE;3;"ABAPIRI P 7
SCHOOL B";358;3;24;1;0;0;43;0;132;203;2;0
1;APAC;2;KWANIA COUNTY;2;CAWENTE;19;ALIDO;1;"CHAWENTE
SUB?COUNTY HQRTS";744;5;92;2;0;2;68;7;335;511;21;0
1;APAC;3;"MARUZI
COUNTY";1;AKOKORO;5;AYEOLYEC;1;"KWIBALE P.7
SCHOOL";416;2;37;1;0;2;127;0;58;227;7;0
1;APAC;3;"MARUZI
COUNTY";1;AKOKORO;5;AYEOLYEC;3;"ZAZAMWANG
A ISLAND";268;2;8;1;0;0;32;0;23;66;2;0
1;APAC;3;MARUZI COUNTY;1;AKOKORO;24;ALARO;1;WANSOLO FISHING CAMP;305;0;26;0;0;2;58;3;68;157;7;0
1;APAC;3;"MARUZI
COUNTY";1;AKOKORO;24;ALARO;2;"ALARO P.7
SCHOOL";586;4;14;4;0;0;221;4;147;394;16;0
1;APAC;3;"MARUZI
COUNTY";2;APAC;8;ATOPI;3;"ANYAI
MARKET";650;1;63;4;0;4;129;4;223;428;9;2
1;APAC;3;"MARUZI
COUNTY";2;APAC;8;ATOPI;4;"AYERA
BOREHOLE";280;3;39;1;0;0;54;1;106;204;3;2
1;APAC;3;"MARUZI
COUNTY";2;APAC;10;ATANA;1;"AWIR P.7
SCHOOL";857;6;99;2;0;1;74;1;262;445;20;0
1;APAC;3;"MARUZI
COUNTY";2;APAC;11;ABEDI;4;"ACANDYANG
CENTRE";590;4;85;2;0;1;83;7;195;377;36;3
1;APAC;2;"KWANIA
COUNTY";3;INOMO;20;BANYA;2;"AKUTOABWOL
E";603;3;116;2;0;1;59;1;261;443;2;0
1;APAC;3;"MARUZI
COUNTY";3;"APAC TOWN
COUNCIL";12;"EASTERN
WARD";2;AKAR;682;2;95;4;0;2;66;0;201;370;13;0
1;APAC;3;"MARUZI
COUNTY";5;IBUJE;20;TAROGALI;2;"ALENGA P.7
SCHOOL";660;1;47;5;0;1;63;2;310;429;47;0
1;APAC;3;MARUZI COUNTY;5;IBUJE;20;TAROGALI;3;"TAROGALI
TRADING CENTER";584;1;61;2;0;2;59;2;308;435;9;2
1;APAC;3;"MARUZI
COUNTY";5;IBUJE;21;AKETO;2;LANGODYANG;660;4;55;1;0;0;45;2;342;449;22;1
1;APAC;3;"MARUZI
COUNTY";5;IBUJE;23;ALWOROCENG;1;"ALEK?OLIL P.7
SCHOOL";626;1;47;3;0;0;100;2;306;459;17;0
;;;;;;;;"The Electoral Commission
Presidential Election Results 2011";;;;;;;;;;;;;
DISTRICT CODE;DISTRICT NAME;EA CODE;EA NAME;SCOUNTY CODE;SCOUNTY NAME;PARISH CODE;PARISH NAME;PS CODE;PS NAME;REGISTERED VOTERS;ABED BWANIKA;BESIGYE KIFEFE KIZZA;BETI OLIVE KAMYA NAMISANGO;BIDANDI? SSALI JABERI;MAO NORBERT;OLARA OTUNNU;"SAMUEL LUBEGA MUKAAKU
WALTER";YOWERI MUSEVENI KAGUTA;VALID;INVALID;SPOILT
1;APAC;3;"MARUZI
COUNTY";5;IBUJE;23;ALWOROCENG;3;"ALWOROCENG
P.7 SCHOOL";613;5;58;0;0;1;110;6;242;422;23;2
1;APAC;3;MARUZI COUNTY;5;IBUJE;23;ALWOROCENG;4;"AJODYEK TRADING
CENTER";225;0;24;0;0;1;60;0;102;187;1;2
1;APAC;3;MARUZI COUNTY;5;IBUJE;23;ALWOROCENG;5;"AMIA MOLA TRADING
CENTER";282;1;53;0;0;0;48;1;115;218;2;0
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;1;ADYEDA;2;"APORWEGI P.7
SCHOOL";548;1;53;1;0;1;34;1;272;363;7;1
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;2;ALIRA;2;AKOT  A;575;3;129;0;0;5;40;1;192;370;10;2
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;2;ALIRA;3;OLEKE;814;3;131;0;0;4;48;2;283;471;20;0
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;25;APIRE;1;APIRE;746;6;67;2;0;1;84;4;310;474;31;0
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;25;APIRE;2;"ANGOLENYAN
G";616;7;74;2;0;1;68;8;263;423;10;0
1;APAC;2;"KWANIA
COUNTY";2;CAWENTE;16;ATONGTIDI;2;"AMWANGA
P.7 SCHOOL";830;4;92;4;1;3;47;3;385;539;15;0
1;APAC;2;"KWANIA
COUNTY";3;INOMO;23;AJOK;3;BUNG GUDU;520;0;57;2;0;1;53;0;217;330;12;0
1;APAC;2;"KWANIA
COUNTY";6;"ADUKU TOWN
COUNCIL";30;TEDUKA WARD;2;OT?GOLE;613;1;93;2;0;0;21;1;301;419;15;0
1;APAC;3;"MARUZI
COUNTY";1;AKOKORO;3;AKOKORO;2;"AKOKORO
S.S.S.";518;4;30;3;0;4;176;1;146;364;6;1
1;APAC;3;"MARUZI
COUNTY";1;AKOKORO;5;AYEOLYEC;5;AYEI B;328;0;19;0;0;4;34;0;53;110;19;0
1;APAC;3;"MARUZI
COUNTY";2;APAC;7;ATIK;4;AWIRI;575;5;56;4;0;4;101;5;179;354;26;1
1;APAC;3;"MARUZI
COUNTY";2;APAC;9;AKERE;1;"ATUDU P7
SCHOOL";563;5;59;0;0;2;80;4;214;364;23;2
1;APAC;2;"KWANIA
COUNTY";4;NAMBIESO;14;BUNG;2;AJENGI;1.135;3;281;1;0;4;19;6;324;638;28;1
1;APAC;2;"KWANIA
COUNTY";4;NAMBIESO;15;ACABA;2;"BARATEGO/AT
UMA P.7";740;0;118;1;0;1;23;4;220;367;141;0
1;APAC;2;KWANIA COUNTY;4;NAMBIESO;27;ETEKOBER;1;"AGWENYERE A PRIMARY
SCHOOL";723;5;171;1;0;3;14;1;221;416;15;0
1;APAC;3;"MARUZI
COUNTY";3;"APAC TOWN
COUNCIL";12;"EASTERN
WARD";4;ATIK;449;3;63;2;0;4;65;0;197;334;16;0
1;APAC;3;"MARUZI
COUNTY";3;"APAC TOWN
COUNCIL";13;"WESTERN
WARD";2;"APAC P.7
SCHOOL";912;3;77;1;0;2;108;2;236;429;10;0
1;APAC;3;MARUZI COUNTY;5;IBUJE;22;AMII;1;IBUJE SUB? COUNTY HQRS;867;4;99;2;0;1;69;2;403;580;11;0
1;APAC;3;"MARUZI
COUNTY";5;IBUJE;22;AMII;2;"ALADO AID
POST";535;2;43;3;0;2;81;2;244;377;17;0
1;APAC;3;"MARUZI
COUNTY";5;IBUJE;25;AMILO;3;"AMILO P7
SCHOOL";878;2;128;2;0;3;130;3;269;537;38;0
;;;;;;;;"The Electoral Commission
Presidential Election Results 2011";;;;;;;;;;;;;
DISTRICT CODE;DISTRICT NAME;EA CODE;EA NAME;SCOUNTY CODE;SCOUNTY NAME;PARISH CODE;PARISH NAME;PS CODE;PS NAME;REGISTERED VOTERS;ABED BWANIKA;BESIGYE KIFEFE KIZZA;BETI OLIVE KAMYA NAMISANGO;BIDANDI? SSALI JABERI;MAO NORBERT;OLARA OTUNNU;"SAMUEL LUBEGA MUKAAKU
WALTER";YOWERI MUSEVENI KAGUTA;VALID;INVALID;SPOILT
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;2;ALIRA;4;AKWODONG;365;0;42;2;0;1;19;3;171;238;14;0
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;7;ONGOCENG;3;"AWANGA
MARKET";524;0;112;0;0;2;16;1;182;313;6;0
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;8;ABOKO;3;ODEO CORNER;766;7;122;5;0;5;15;3;327;484;4;4
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;8;ABOKO;4;"ABOKO PRI.
SCHOOL";352;1;91;1;0;0;18;2;105;218;31;2
1;APAC;2;"KWANIA
COUNTY";5;ABONGOMOLA;3;AKALI;1;ALEL;392;4;84;2;4;1;44;2;138;279;7;0
1;APAC;2;"KWANIA
COUNTY";5;ABONGOMOLA;4;ABWONG;1;"ABWONG P  7
SCHOOL";591;1;99;3;1;5;35;1;198;343;36;0
1;APAC;2;"KWANIA
COUNTY";5;ABONGOMOLA;5;ACUNGI;4;"ABONGOMOL
A";720;3;166;2;2;2;17;5;218;415;37;1
1;APAC;2;"KWANIA
COUNTY";2;CAWENTE;16;ATONGTIDI;1;IWAL MARKET;520;6;65;4;2;3;52;6;217;355;1;0
