subcounty_pk,subcounty_code,subcounty_name,district_code,district_name,constituency_code, constituency_name
SC78-5,5,BUNABUTITI,78,BUDUDA,133,MANJIYA COUNTY
SC78-6,6,BUNATSAMI,78,BUDUDA,336,BUSHIGAI COUNTY
SC78-10,10,BUNDESI,78,BUDUDA,270,LUTSESHE COUNTY
SC78-7,7,BUSHIKA,78,BUDUDA,133,MANJIYA COUNTY
SC78-11,11,BUSHIRIBO,78,BUDUDA,336,BUSHIGAI COUNTY
SC78-12,12,BUSHIYI,78,BUDUDA,270,LUTSESHE COUNTY
SC78-8,8,BUSIRIWA,78,BUDUDA,270,LUTSESHE COUNTY
SC78-13,13,BUWALI,78,BUDUDA,270,LUTSESHE COUNTY
SC78-1,1,KIKHOLO TOWN COUNCIL,78,BUDUDA,336,BUSHIGAI COUNTY
SC78-2,2,KUUSHU TOWN COUNCIL,78,BUDUDA,270,LUTSESHE COUNTY
SC78-4,4,MABONO,78,BUDUDA,270,LUTSESHE COUNTY
SC78-14,14,NABWEYA,78,BUDUDA,336,BUSHIGAI COUNTY
SC78-15,15,NAKATSI,78,BUDUDA,133,MANJIYA COUNTY
SC78-16,16,NALWANZA,78,BUDUDA,270,LUTSESHE COUNTY
SC78-18,18,NANGAKO TOWN COUNCIL,78,BUDUDA,133,MANJIYA COUNTY
SC41-5,5,BUDHAYA,41,BUGIRI,31,BUKOOLI COUNTY CENTRAL
SC41-1,1,BULESA,41,BUGIRI,31,BUKOOLI COUNTY CENTRAL
SC41-6,6,BULIDHA,41,BUGIRI,31,BUKOOLI COUNTY CENTRAL
SC41-2,2,BULUGUYI,41,BUGIRI,32,BUKOOLI COUNTY NORTH
SC41-8,8,BUSOWA TOWN COUNCIL,41,BUGIRI,31,BUKOOLI COUNTY CENTRAL
SC41-2,2,BUWUNGA,41,BUGIRI,31,BUKOOLI COUNTY CENTRAL
SC41-9,9,BUWUNI TOWN COUNCIL,41,BUGIRI,31,BUKOOLI COUNTY CENTRAL
SC41-1,1,EASTERN DIVISION,41,BUGIRI,295,BUGIRI MUNICIPALITY
SC41-3,3,IWEMBA,41,BUGIRI,32,BUKOOLI COUNTY NORTH
SC41-4,4,KAPYANGA,41,BUGIRI,32,BUKOOLI COUNTY NORTH
SC41-11,11,MAYUGE TOWN COUNCIL,41,BUGIRI,31,BUKOOLI COUNTY CENTRAL
SC41-10,10,MUTELELE TOWN COUNCIL,41,BUGIRI,31,BUKOOLI COUNTY CENTRAL
SC41-3,3,MUTERERE,41,BUGIRI,31,BUKOOLI COUNTY CENTRAL
SC41-7,7,MUWAYO TOWN COUNCIL,41,BUGIRI,32,BUKOOLI COUNTY NORTH
SC41-5,5,NABUKALU,41,BUGIRI,32,BUKOOLI COUNTY NORTH
SC41-1,1,NABUKALU TOWN COUNCIL,41,BUGIRI,32,BUKOOLI COUNTY NORTH
SC41-6,6,NAMAYEMBA TOWN COUNCIL,41,BUGIRI,32,BUKOOLI COUNTY NORTH
SC41-4,4,NANKOMA,41,BUGIRI,31,BUKOOLI COUNTY CENTRAL
SC41-7,7,NANKOMA TOWN COUNCIL,41,BUGIRI,31,BUKOOLI COUNTY CENTRAL
SC41-2,2,WESTERN DIVISION,41,BUGIRI,295,BUGIRI MUNICIPALITY
SC123-5,5,BUSEMBATIA TOWN COUNCIL,123,BUGWERI,30,BUGWERI COUNTY
SC123-1,1,BUYANGA,123,BUGWERI,30,BUGWERI COUNTY
SC123-2,2,IBULANKU,123,BUGWERI,30,BUGWERI COUNTY
SC123-7,7,IDUDI TOWN COUNCIL,123,BUGWERI,30,BUGWERI COUNTY
SC123-6,6,IGOMBE,123,BUGWERI,30,BUGWERI COUNTY
SC123-3,3,MAKUUTU,123,BUGWERI,30,BUGWERI COUNTY
SC123-4,4,NAMALEMBA,123,BUGWERI,30,BUGWERI COUNTY
SC109-1,1,BIHANGA,109,BUHWEJU,304,BUHWEJU WEST COUNTY
SC109-5,5,BITSYA,109,BUHWEJU,16,BUHWEJU COUNTY
SC109-13,13,BUHUNGA,109,BUHWEJU,16,BUHWEJU COUNTY
SC109-2,2,BURERE,109,BUHWEJU,304,BUHWEJU WEST COUNTY
SC109-6,6,ENGAJU,109,BUHWEJU,304,BUHWEJU WEST COUNTY
SC109-3,3,KARUNGU,109,BUHWEJU,16,BUHWEJU COUNTY
SC109-9,9,KASHENYI-KAJANI TOWN COUNCIL,109,BUHWEJU,16,BUHWEJU COUNTY
SC109-12,12,KYAHENDA,109,BUHWEJU,304,BUHWEJU WEST COUNTY
SC109-8,8,NSIIKA TOWN COUNCIL,109,BUHWEJU,16,BUHWEJU COUNTY
SC109-11,11,NYAKASHAKA TOWN COUNCIL,109,BUHWEJU,304,BUHWEJU WEST COUNTY
SC109-10,10,NYAKAZIBA TOWN COUNCIL,109,BUHWEJU,304,BUHWEJU WEST COUNTY
SC109-7,7,NYAKISHANA,109,BUHWEJU,304,BUHWEJU WEST COUNTY
SC109-14,14,RUBENGYE,109,BUHWEJU,304,BUHWEJU WEST COUNTY
SC109-4,4,RWENGWE,109,BUHWEJU,16,BUHWEJU COUNTY
SC82-1,1,BUIKWE,82,BUIKWE,174,BUIKWE COUNTY SOUTH
SC82-6,6,BUIKWE TOWN COUNCIL,82,BUIKWE,174,BUIKWE COUNTY SOUTH
SC82-2,2,CENTRAL DIVISION,82,BUIKWE,173,LUGAZI MUNICIPALITY
SC82-1,1,KAWOLO DIVISION,82,BUIKWE,173,LUGAZI MUNICIPALITY
SC82-7,7,KIYINDI TOWN COUNCIL,82,BUIKWE,174,BUIKWE COUNTY SOUTH
SC82-2,2,NAJJA,82,BUIKWE,174,BUIKWE COUNTY SOUTH
SC82-3,3,NAJJEMBE DIVISION,82,BUIKWE,173,LUGAZI MUNICIPALITY
SC82-3,3,NGOGWE,82,BUIKWE,174,BUIKWE COUNTY SOUTH
SC82-1,1,NJERU DIVISION,82,BUIKWE,172,NJERU MUNICIPALITY
SC82-4,4,NKOKONJERU TOWN COUNCIL,82,BUIKWE,174,BUIKWE COUNTY SOUTH
SC82-2,2,NYENGA DIVISION,82,BUIKWE,172,NJERU MUNICIPALITY
SC82-5,5,SSI,82,BUIKWE,174,BUIKWE COUNTY SOUTH
SC82-3,3,WAKISI DIVISION,82,BUIKWE,172,NJERU MUNICIPALITY
SC79-1,1,ALIGOI,79,BUKEDEA,257,KACHUMBALA COUNTY
SC79-7,7,AMINIT,79,BUKEDEA,96,BUKEDEA COUNTY
SC79-1,1,BUKEDEA,79,BUKEDEA,96,BUKEDEA COUNTY
SC79-6,6,BUKEDEA TOWN COUNCIL,79,BUKEDEA,96,BUKEDEA COUNTY
SC79-8,8,KABARWA,79,BUKEDEA,96,BUKEDEA COUNTY
SC79-2,2,KACHUMBALA,79,BUKEDEA,257,KACHUMBALA COUNTY
SC79-9,9,KAMUTUR,79,BUKEDEA,96,BUKEDEA COUNTY
SC79-10,10,KANGOLE,79,BUKEDEA,96,BUKEDEA COUNTY
SC79-3,3,KIDONGOLE,79,BUKEDEA,96,BUKEDEA COUNTY
SC79-11,11,KOCHEKA,79,BUKEDEA,96,BUKEDEA COUNTY
SC79-12,12,KOENA,79,BUKEDEA,96,BUKEDEA COUNTY
SC79-4,4,KOLIR,79,BUKEDEA,96,BUKEDEA COUNTY
SC79-3,3,KOMUGE,79,BUKEDEA,257,KACHUMBALA COUNTY
SC79-5,5,KONGUNGA TOWN COUNCIL,79,BUKEDEA,257,KACHUMBALA COUNTY
SC79-4,4,KWARIKWAR,79,BUKEDEA,257,KACHUMBALA COUNTY
SC79-5,5,MALERA,79,BUKEDEA,96,BUKEDEA COUNTY
SC98-1,1,BIGASA,98,BUKOMANSIMBI,111,BUKOMANSIMBI NORTH COUNTY
SC98-2,2,BUKANGO,98,BUKOMANSIMBI,111,BUKOMANSIMBI NORTH COUNTY
SC98-5,5,BUKOMANSIMBI TOWN COUNCIL,98,BUKOMANSIMBI,111,BUKOMANSIMBI NORTH COUNTY
SC98-2,2,BUTENGA,98,BUKOMANSIMBI,244,BUKOMANSIMBI SOUTH COUNTY
SC98-1,1,BUTENGA TOWN COUNCIL,98,BUKOMANSIMBI,244,BUKOMANSIMBI SOUTH COUNTY
SC98-6,6,KAGOLOGOLO TOWN COUNCIL,98,BUKOMANSIMBI,111,BUKOMANSIMBI NORTH COUNTY
SC98-3,3,KIBINGE,98,BUKOMANSIMBI,244,BUKOMANSIMBI SOUTH COUNTY
SC98-3,3,KIGANGAZZI TOWN COUNCIL,98,BUKOMANSIMBI,111,BUKOMANSIMBI NORTH COUNTY
SC98-4,4,KITANDA,98,BUKOMANSIMBI,111,BUKOMANSIMBI NORTH COUNTY
SC59-14,14,AMANANG,59,BUKWO,74,KONGASIS COUNTY
SC59-17,17,BRIM,59,BUKWO,326,T'OO COUNTY
SC59-1,1,BUKWA,59,BUKWO,74,KONGASIS COUNTY
SC59-5,5,BUKWO TOWN COUNCIL,59,BUKWO,74,KONGASIS COUNTY
SC59-6,6,CHEPKWASTA,59,BUKWO,74,KONGASIS COUNTY
SC59-2,2,CHESOWER,59,BUKWO,326,T'OO COUNTY
SC59-3,3,KABEI,59,BUKWO,326,T'OO COUNTY
SC59-7,7,KAMET,59,BUKWO,326,T'OO COUNTY
SC59-18,18,KAPKOROS,59,BUKWO,74,KONGASIS COUNTY
SC59-19,19,KAPNANDI TOWN COUNCIL,59,BUKWO,74,KONGASIS COUNTY
SC59-13,13,KAPSARUR,59,BUKWO,74,KONGASIS COUNTY
SC59-8,8,KAPTERERWO,59,BUKWO,74,KONGASIS COUNTY
SC59-9,9,KORTEK,59,BUKWO,326,T'OO COUNTY
SC59-16,16,LWONGON,59,BUKWO,326,T'OO COUNTY
SC59-15,15,MUTUSHET,59,BUKWO,326,T'OO COUNTY
SC59-10,10,RIWO,59,BUKWO,326,T'OO COUNTY
SC59-1,1,RIWO TOWN COUNCIL,59,BUKWO,326,T'OO COUNTY
SC59-11,11,SENENDET,59,BUKWO,74,KONGASIS COUNTY
SC59-4,4,SUAM,59,BUKWO,74,KONGASIS COUNTY
SC59-20,20,SUAM TOWN COUNCIL,59,BUKWO,74,KONGASIS COUNTY
SC59-12,12,TULEL,59,BUKWO,326,T'OO COUNTY
SC89-2,2,BUFUMBO,89,BULAMBULI,346,ELGON NORTH COUNTY
SC89-1,1,BUGINYANYA,89,BULAMBULI,346,ELGON NORTH COUNTY
SC89-2,2,BUKHALU,89,BULAMBULI,130,BULAMBULI COUNTY
SC89-3,3,BULAGO,89,BULAMBULI,253,ELGON COUNTY
SC89-17,17,BULAMBULI TOWN COUNCIL,89,BULAMBULI,130,BULAMBULI COUNTY
SC89-4,4,BULEGENI,89,BULAMBULI,346,ELGON NORTH COUNTY
SC89-16,16,BULEGENI TOWN COUNCIL,89,BULAMBULI,346,ELGON NORTH COUNTY
SC89-5,5,BULUGANYA,89,BULAMBULI,253,ELGON COUNTY
SC89-10,10,BUMASOBO,89,BULAMBULI,253,ELGON COUNTY
SC89-1,1,BUMUFUNI,89,BULAMBULI,130,BULAMBULI COUNTY
SC89-18,18,BUMUGIBOLE,89,BULAMBULI,346,ELGON NORTH COUNTY
SC89-3,3,BUNALWERE,89,BULAMBULI,130,BULAMBULI COUNTY
SC89-6,6,BUNAMBUTYE,89,BULAMBULI,130,BULAMBULI COUNTY
SC89-4,4,BUWANYANGA,89,BULAMBULI,130,BULAMBULI COUNTY
SC89-20,20,BUYAGA TOWN COUNCIL,89,BULAMBULI,130,BULAMBULI COUNTY
SC89-11,11,BWIKHONGE,89,BULAMBULI,130,BULAMBULI COUNTY
SC89-19,19,KAMU,89,BULAMBULI,346,ELGON NORTH COUNTY
SC89-12,12,LUSHA,89,BULAMBULI,253,ELGON COUNTY
SC89-7,7,MASIRA,89,BULAMBULI,346,ELGON NORTH COUNTY
SC89-8,8,MUYEMBE,89,BULAMBULI,130,BULAMBULI COUNTY
SC89-13,13,NABBONGO,89,BULAMBULI,130,BULAMBULI COUNTY
SC89-6,6,NABIWUTULU,89,BULAMBULI,253,ELGON COUNTY
SC89-14,14,NAMISUNI,89,BULAMBULI,346,ELGON NORTH COUNTY
SC89-15,15,SIMU,89,BULAMBULI,253,ELGON COUNTY
SC89-9,9,SISIYI,89,BULAMBULI,346,ELGON NORTH COUNTY
SC89-8,8,SOTTI,89,BULAMBULI,253,ELGON COUNTY
SC73-1,1,BIISO,73,BULIISA,123,BULIISA COUNTY
SC73-8,8,BIISO TOWN COUNCIL,73,BULIISA,123,BULIISA COUNTY
SC73-2,2,BULIISA,73,BULIISA,123,BULIISA COUNTY
SC73-3,3,BULIISA TOWN COUNCIL,73,BULIISA,123,BULIISA COUNTY
SC73-4,4,BUTIABA,73,BULIISA,123,BULIISA COUNTY
SC73-9,9,BUTIABA TOWN COUNCIL,73,BULIISA,123,BULIISA COUNTY
SC73-5,5,KIGWERA,73,BULIISA,123,BULIISA COUNTY
SC73-6,6,KIHUNGYA,73,BULIISA,123,BULIISA COUNTY
SC73-7,7,NGWEDO,73,BULIISA,123,BULIISA COUNTY
SC3-1,1,BUBANDI,3,BUNDIBUGYO,14,BWAMBA COUNTY
SC3-2,2,BUBUKWANGA,3,BUNDIBUGYO,14,BWAMBA COUNTY
SC3-12,12,BUGANIKERE TOWN COUNCIL,3,BUNDIBUGYO,14,BWAMBA COUNTY
SC3-4,4,BUKONZO,3,BUNDIBUGYO,215,BUGHENDERA COUNTY
SC3-3,3,BUNDIBUGYO TOWN COUNCIL,3,BUNDIBUGYO,14,BWAMBA COUNTY
SC3-9,9,BUNDINGOMA,3,BUNDIBUGYO,14,BWAMBA COUNTY
SC3-8,8,BURONDO,3,BUNDIBUGYO,215,BUGHENDERA COUNTY
